Name,Lincoln-Douglas
Round Rock Dragon Invitational TOCTFA,offered
Westwood Bowl,offered
Loyola Invitational,Quarterfinalists Bid
50th Clear Lake Falcon Classic,offered
National Speech & Debate Season Opener,Quarterfinalists Bid
Grapevine Classic,Quarterfinalists Bid
Niles Township Invitational,not offered
Greenhill Fall Classic,Octafinalists Bid
Washburn Rural Debate Invitational,not offered
Yale Invitational,Quarterfinalists Bid
Jack Howe Memorial Tournament,Semifinalists Bid
Athens TFA IQT,offered
Chapel Hill Lindale TFA NIETOC TOC Classic,offered
Bentonville Tiger's Eye,offered
Georgetown Day School,not offered
Marist Ivy Street Invitational,offered
Stephen Stewart Memorial Middle & High School Invitational,offered
Mid America Cup,Octafinalists Bid
DSDL 1 Pinecrest,offered
Scottsdale Prep,not offered
Blue Valley Southwest (BVSW),not offered
Coppell Classic Swing,offered
Conway Classy Classic,offered
Beehive Bonanza,offered
California State University Fullerton Fall MS HS Speech & Debate Tournament,offered
DSDL #2,offered
Holy Cross Navy & Old Gold Debate and Speech Exhibition,Semifinalists Bid
Taiwan Speech & Debate Invitational,offered
Georgetown Fall,not offered
Westminster,not offered
Nova Titan Invitational,offered
San Diego Gaske Memorial Invitational High School Tournament,offered
Trevian Invitational,not offered
Nano Nagle Tournament,Quarterfinalists Bid
Jim Fountain Classic,offered
Heart of Texas Invitational,Octafinalists Bid
New York City Invitational Debate and Speech Tournament,Octafinalists Bid
International Speech & Debate Initiative #1,not offered
GGSA Speech 1,not offered
CFL Speech 1,not offered
Laird Lewis,Finalists Bid
Tim Averill Invitational,offered
JW Patterson HS Invitational Heritage Hall,Finalists Bid
East Ridge Raptor Invitational Palooza,offered
Iowa Caucus Debates,not offered
Jon Schamber High School Invitational,offered
Olympia International Debate and Speech Championship,not offered
KCKCC Policy Debate TOC Qualifier,not offered
Meadows School Tournament,Quarterfinalists Bid
Florida Blue Key Speech and Debate Tournament,Quarterfinalists Bid
Apple Valley Minneapple Debate Tournament,Octafinalists Bid
Melissa's Kenneth Wooten Online,offered
DSDL #3,offered
Quarry Lane Invitational,offered
Park City Snow Globe,offered
University of Michigan HS Debate Tournament,not offered
University of Michigan HS Debate Tournament,not offered
Mountain View Toro Country Classic,offered
Urban Debate Dragon Invitational,not offered
Ed Long Invitational at the Hockaday School,offered
Badgerland Chung Vitational,Finalists Bid
Lincoln Southwest Silver Talon,offered
Damus Hollywood Invitational,Semifinalists Bid
Katy Taylor TFA TOC NIETOC Fall Classic,offered
Warrior Invitational,not offered
Peach State Classic,offered
Bulldog Invitational,offered
DSDL #4,offered
Randolph Fall Classic (SpeechWire Tournament),offered
Villiger at St Joseph's University,offered
International Speech & Debate Initiative #2,not offered
John Lewis SVUDL Invitational,offered
Glenbrooks Speech & Debate Tournament,Octafinalists Bid
Big Gump Classic,not offered
Charger Challenge,offered
Longhorn Classic,Quarterfinalists Bid
NY Fall Faceoff at Mamaroneck High School,not offered
The Paradigm at Dowling Catholic,Finalists Bid
TOC Digital Speech and Debate Series #1 (Online),Semifinalists Bid
Alta Silver & Black,Semifinalists Bid
Princeton Classic,Semifinalists Bid
La Costa Canyon Winter Classic,Finalists Bid
GGSA Speech 2,not offered
Millard West Fred Robertson Invitational,offered
Dripping Springs TFANIETOC Tiger Tussle,offered
Isidore Newman Invitational Tournament,Semifinalists Bid
Ridge Debates,Finalists Bid
La Salle Forum Invitational,offered
CFL Speech 2,not offered
The Tradition,offered
Holiday Classic,offered
Strake Jesuit Tournament,Semifinalists Bid
Poland Seminary Invitational,offered
College Prep LD Invitational,Quarterfinalists Bid
John Edie Holiday Debates,Quarterfinalists Bid
Billy Tate Southern Bell Forum,not offered
Newark Invitational,Quarterfinalists Bid
Omaha Westside Warrior Invitational,offered
Arizona State HDSHC Invitational,Finalists Bid
Puget Sound High School Tournament,Semifinalists Bid
Churchill Classic,Semifinalists Bid
Gonzaga University Conway Winter Classic,offered
Saints Classic,offered
Samford University Bishop Guild Invitational,offered
Sunvite,Finalists Bid
Newton South Winter Festival,offered
Dalmasse Sterner Invitational,offered
Peninsula Invitational (Penvitational),Quarterfinalists Bid
Mount Vernon Invitational,Semifinalists Bid
Harvard Westlake Debates,Octafinalists Bid
Patriot Games PF Online,not offered
The Patriot Games,offered
Southlake Carroll TFA Dragon Faire,offered
Cavalier Invitational at Durham Academy,Semifinalists Bid
North Allegheny Invitational,Finalists Bid
James Logan Martin Luther King Jr Invitational,offered
Jean Ward Invitational,Finalists Bid
Lexington Winter Invitational,Quarterfinalists Bid
University of Houston Cougar Classic,Semifinalists Bid
Seattle U HS Tournament,offered
International Speech & Debate Initiative #3,not offered
Barkley Forum for High Schools,Octafinalists Bid
Cabot Classic,offered
Ridge Invitational,offered
CFL Speech 3,not offered
Jackrabbit Jamboree,offered
Pennsbury Falcon Invitational,Semifinalists Bid
Cavalier Invite,Finalists Bid
Iowa City Cross River Classic,offered
Columbia University Invitational,Finalists Bid
Golden Desert Debate Tournament,Semifinalists Bid
Mercer Invitational,not offered
GGSA Speech 3,not offered
Thomas S Foley Memorial TOC/NIETOC Bid Tournamenet,offered
SF Roosevelt Sweetstakes,offered
Marshall Spalter Cup,offered
Bellaire Forensic Tournament,offered
Maine East Regatta,not offered
University of Pennsylvania LIberty Bell Classic,Finalists Bid
DSDL #5,offered
Hampton Talbot Tournament,offered
Stanford Invitational,Quarterfinalists Bid
The Rushmore Challenge,offered
Three Rivers at Upper St Clair,Finalists Bid
Harvard National Speech and Debate Tournament,Octafinalists Bid
Cal Invitational UC Berkeley,Octafinalists Bid
Spartan Green and Gold,not offered
Jasper Howl,Finalists Bid
TOC Digital Speech and Debate Series #2 (Online),Quarterfinalists Bid
Marshall University John Marshall,offered
Rose City Tournament,not offered
Ryan Mills SVUDL,offered
Milo Cup at Millard North,Finalists Bid
University of Georgia HS Bulldog Debates,not offered
Mardi Gras Speech Carnivale,offered
DSDL #6,offered
GGSA State Quals,offered
CFL SPeech CHSSA State Qualifiers,not offered
USC Trojan Invitational,Semifinalists Bid
