Aff,Neg,Judge,Win
Northern Valley AC,Harrison AN,Kumail Zaidi,Aff
McNeil NV,Harker TP,Chan Park,Neg
Flintridge Prep CX,Cabot KB,Jordan Keller,Aff
American Heritage Broward CA,Harker ID,Chan Park,Neg
Memorial EJ,Ridge HK,Stephen Lewis,Aff
St Thomas CO,Mountain View AW,Eva Lamberson,Aff
Wheatley AM,Lynbrook VV,Julian Kuffour,Neg
Marlborough AM,Greenhill MA,Ari Davidson,Aff
Millard North CB,Edgemont AP,Eric Schwerdtfeger,Aff
Laurel CW,Cherry Hill HS East CR,Jack Quisenberry,Neg
Marlborough OO,American Heritage Broward ZC,Holden Bukowsky,Neg
Harrison FW,Little Rock Central GT,Eric Schwerdtfeger,Neg
Evergreen Valley SK,Lexington OO,Tom Evnen,Aff
Waring MB,Greenhill SK,Brooklynn Hato,Neg
Plano West AR,Harvard-Westlake KM,David Asafu-Adjaye,Aff
Sonoma AM,Strake Jesuit  LC,Shreeram Modi,Neg
Coppell KT,Harker SS,Truman Le,Neg
Harker SD,Colleyville Heritage GM,Elizabeth Elliott,Aff
Lynbrook OM,Cary Acad LM,Samantha McLoughlin,Aff
Sehome RS,Marlborough LF,Shreeram Modi,Neg
Marlborough LS,Monta Vista EY,Julian Kuffour,Neg
Vestavia Hills VZ,Harvard-Westlake AS,Nigel Taylor-Ward,Neg
Mountain Lakes EW,Cary Acad RP,Anna Myers,Aff
Head-Royce AJ,Awty International DR,Vontrez White,Aff
Harvard-Westlake LS,Lake Highland Prep NA,Raunak Dua,Neg
West Des Moines Valley LS,Greenhill VT,Chetan Hertzig,Neg
Clear Lake RZ,Loyola UT,Amanda Ciocca,Aff
Strake Jesuit  KS,Horace Greeley CC,Jordan Keller,Aff
BASIS Scottsdale SS,Greenhill AK,Garrett Bishop,Aff
Syosset AP,Peninsula SU,Stephen Lewis,Neg
Horace Greeley SG,Plano West SG,Eliza Buckner,Neg
Horace Greeley AM,Harker AA,Mark Kivimaki,Neg
Barrington AC,Harker SSe,Gordon Krauss,Neg
Immaculate Heart ES,Greenhill DM,Curtis Ortega,Aff
Interlake JP,American Heritage Broward CM,Kush Vijapure,Neg
Harker NB,Isidore Newman DC,Ethan Greer,Neg
McNeil AS,BASIS Silicon Valley JK,Jack Quisenberry,Aff
American Heritage Broward JX,Langham Creek EY,Jacob Smith,Aff
Northland Christian LM,Loyola TH,Judah Jones,Neg
Memorial AW,Harvard-Westlake MR,Curtis Ortega,Neg
West HS SLC LM,Greenhill EX,Nigel Taylor-Ward,Neg
Phillips Exeter ES,Lynbrook BZ,Vontrez White,Neg
Iowa City West FH,Flintridge Prep IL,Michael Harris,Neg
Harker LC,Harrison AG,Truman Le,Aff
Acton-Boxborough NK,Holy Trinity Episcopal CH,Spencer Orlowski,Aff
