Aff,Neg,Judge,Win
Little Rock Central GT,Greenhill EX,Ari Davidson,Neg
Langham Creek EY,St Thomas CO,Sean Wallace,Aff
Cabot KB,Harker NB,Holden Bukowsky,Neg
Plano West AR,Greenhill DM,Amanda Ciocca,Aff
Cary Acad RP,Coppell KT,Sachin Aggarwal,Neg
Harrison AN,Wheatley AM,Brian Manuel,Neg
Marlborough LS,Horace Greeley AM,Emilio Menotti,Neg
Harker SS,Clear Lake RZ,Jordan Keller,Aff
Phillips Exeter ES,Harker SD,Jacob Nails,Neg
Harvard-Westlake AS,Marlborough AM,Gordon Krauss,Neg
Peninsula SU,Greenhill VT,Ari Davidson,Aff
Holy Trinity Episcopal CH,Edgemont AP,Garrett Bishop,Aff
Lynbrook VV,Horace Greeley SG,Sophia Dal Pra,Neg
American Heritage Broward JX,Cherry Hill HS East CR,Kumail Zaidi,Neg
Waring MB,Colleyville Heritage GM,Judah Jones,Neg
Flintridge Prep IL,Sonoma AM,Amanda Ciocca,Neg
Strake Jesuit  LC,Marlborough LF,Christian Bohmer,Neg
Iowa City West FH,Isidore Newman DC,William Liu,Aff
Greenhill SK,Harker AA,Chris Castillo,Neg
American Heritage Broward ZC,Mountain View AW,Samantha McLoughlin,Neg
Northland Christian LM,Lynbrook BZ,Sophia Dal Pra,Neg
McNeil AS,Harrison FW,David Asafu-Adjaye,Neg
Harker ID,West HS SLC LM,David Dosch,Aff
Cary Acad LM,Greenhill MA,Garrett Bishop,Neg
Interlake JP,Lexington OO,Curtis Ortega,Neg
Memorial EJ,Lynbrook OM,Conner Shih,Neg
Barrington AC,Sehome RS,Jasmine Stidham,Aff
Harker TP,Flintridge Prep CX,Kumail Zaidi,Neg
Marlborough OO,McNeil NV,Samantha McLoughlin,Aff
Plano West SG,Head-Royce AJ,Nick Loew,Neg
BASIS Scottsdale SS,American Heritage Broward CM,Sophia Tian,Neg
Horace Greeley CC,Greenhill AK,Colton Gilbert,Neg
Strake Jesuit  KS,West Des Moines Valley LS,Bodhi Rosen,Aff
Syosset AP,Loyola TH,Ilan Boguslavsky,Neg
Evergreen Valley SK,Northern Valley AC,Sachin Aggarwal,Neg
Harvard-Westlake KM,Harrison AG,Shreeram Modi,Aff
Laurel CW,Mountain Lakes EW,Aidan Etkin,Neg
Vestavia Hills VZ,Ridge HK,Raunak Dua,Aff
Millard North CB,Immaculate Heart ES,Valerie Li,Aff
Awty International DR,BASIS Silicon Valley JK,Sean Wallace,Neg
Monta Vista EY,Harker SSe,Mark Kivimaki,Neg
Memorial AW,Loyola UT,Brooklynn Hato,Neg
Acton-Boxborough NK,Harker LC,Elizabeth Elliott,Aff
Harvard-Westlake LS,American Heritage Broward CA,Truman Le,Aff
Lake Highland Prep NA,Harvard-Westlake MR,Chris Castillo,Aff
